trade_idx,entry_iso,dir_label,blocked_by_gate,ema_fast,ema_slow,ema_diff,atr,atr_bps,ema_diff_normalized,pnl_bps_gross,pnl_bps_lev,reason,hold_min,interval_min,status
1,2026-04-12T22:19:00.722562+00:00,LONG,True,2192.74762100128,2202.437589037237,-9.689968035957008,14.165261377515197,64.72115987643214,-0.6840656008888116,30.514339976761562,305.1433997676156,timeout,240.99410165548323,15,ok
2,2026-04-13T06:04:00.800116+00:00,LONG,False,2193.480367833921,2191.91724717023,1.5631206636908246,5.908129742515996,26.908953099453438,0.2645711471842466,-53.85091129079478,-538.5091129079477,sl,135.99183783928552,15,ok
3,2026-04-13T13:57:00.739281+00:00,LONG,False,2207.3223207128794,2194.4775165649176,12.844804147961895,22.208511139255716,100.24107830366695,0.5783730420927429,129.13420153878752,1291.342015387875,manual_close,325.9606240034103,15,ok
4,2026-04-14T08:37:00.252924+00:00,LONG,False,2385.9926222867916,2377.769693647863,8.222928638928806,11.393452798267722,47.69210366966262,0.7217240273448127,-52.56016114096984,-525.6016114096984,sl,121.99853851795197,15,ok
5,2026-04-14T11:37:00.258947+00:00,LONG,True,2372.293814539379,2377.6181227438897,-5.324308204510544,6.230931018749374,26.262480269200246,-0.8544964128938791,-53.798122178840835,-537.9812217884083,sl,201.99864485263825,15,ok
6,2026-04-14T16:14:00.249285+00:00,LONG,False,2362.7798352231544,2365.4158564754507,-2.6360212522963593,13.878061336254156,58.75132330126179,-0.18994160556202377,-64.8101026027137,-648.101026027137,sl,21.99760534763336,15,ok
7,2026-04-14T16:58:00.316840+00:00,LONG,True,2340.7407346378945,2356.3877589010117,-15.647024263117146,16.663507667031823,71.38301247882445,-0.938999433719123,-56.751223630070456,-567.5122363007046,sl,108.99740179777146,15,ok
8,2026-04-15T05:40:00.263124+00:00,LONG,True,2321.2969426898435,2327.328325985423,-6.031383295579417,8.482827251693278,36.577627177835126,-0.7110109774280123,15.221789804718,152.21789804718,timeout,240.99763820171356,15,ok
9,2026-04-15T18:10:00.319267+00:00,LONG,False,2352.1510374703794,2345.377637938628,6.773399531751238,10.150660332289593,43.11284353090159,0.6672865912185856,74.76748737778038,747.6748737778039,trail_stop,249.99744715690613,15,ok
10,2026-04-15T22:56:00.242829+00:00,LONG,False,2366.0426257274958,2364.733269088061,1.3093566394345544,11.552864152260266,48.86853668571686,0.11333610628308,-65.53447578988569,-655.3447578988569,sl,19.997909530003867,15,ok
11,2026-04-16T09:45:00.321883+00:00,LONG,True,2339.3917384724496,2343.343985854205,-3.9522473817555692,4.526427284895032,19.358018042805288,-0.873149425142532,-20.915599173215725,-209.15599173215725,timeout,240.996388789018,15,ok
12,2026-04-16T20:35:00.241472+00:00,LONG,False,2348.2733874596815,2346.5653637119767,1.7080237477048286,10.305142615718665,43.939362454083536,0.16574479474932657,-4.243360517598438,-42.43360517598438,trail_stop,250.00077232519786,15,ok
13,2026-04-17T13:12:00.263830+00:00,LONG,False,2385.5361312348286,2363.865042662869,21.671088571959444,12.188884567626461,50.617870979586804,1.7779386170837657,133.63857749360665,1336.3857749360664,tp_trail,60.997456300258634,5,ok
14,2026-04-17T17:09:00.267723+00:00,LONG,False,2449.625497516764,2444.5758275228873,5.049669993876705,7.219488339222664,29.5969217807896,0.6994498441728091,-58.249866430051256,-582.4986643005126,sl,15.998507026831309,5,ok
15,2026-04-17T22:15:00.305944+00:00,LONG,False,2428.1501768787607,2428.8148277606833,-0.6646508819226256,3.9021080455718185,16.088911433332306,-0.17033123485057858,-54.779484953654254,-547.7948495365425,sl,139.99655552307766,5,ok
16,2026-04-18T01:07:00.254409+00:00,LONG,False,2421.0274130249636,2422.8330980099013,-1.8056849849376704,4.31591924620225,17.815972120545922,-0.41837784303461306,-63.64022844808525,-636.4022844808526,sl,166.9974514245987,5,ok
17,2026-04-19T08:38:00.487908+00:00,LONG,True,2317.1725063253443,2320.8880980297868,-3.7155917044424314,1.419978954745918,6.119069175576443,-2.6166526567341104,-48.46057479886423,-484.6057479886423,sl,69.99639711380004,1,ok
